,😂,❤️,😍,😭,♻️,♥️,😊,💕,😒,😘,😔,😩,☺️,😁,👌,😏,😉,👍,😅,🙏,👀,🔥,💔,😌,💙
20201103-011233,3546,2852,1625,3146,73,537,572,456,294,434,1268,518,331,560,185,365,418,630,563,868,892,590,440,558,410
20201103-011733,3448,2653,1520,3165,57,539,606,482,296,453,1322,542,355,510,156,337,377,600,565,808,852,658,390,585,435
20201103-012234,3430,2642,1537,3179,75,510,573,492,289,422,1295,537,346,526,184,336,396,595,521,919,848,605,412,557,495
20201103-012734,3465,2762,1491,3099,74,547,550,516,269,424,1344,512,350,513,168,332,428,569,540,941,800,603,400,511,448
20201103-013234,3504,2788,1526,3211,57,542,599,468,270,424,1294,541,359,542,169,345,351,557,574,996,863,661,437,524,446
20201103-013735,3349,2798,1504,3127,63,509,563,526,292,389,1320,521,337,509,160,340,352,583,561,918,880,649,449,504,484
20201103-014235,3511,2746,1502,3089,67,534,564,498,303,408,1319,553,299,482,149,341,377,653,571,820,841,576,429,524,430
20201103-014736,3404,2767,1417,3151,57,493,568,500,290,446,1229,492,309,526,169,338,370,614,543,861,872,597,450,507,441
20201103-015236,3480,2721,1497,3146,60,504,542,471,296,422,1301,497,319,581,160,366,392,570,568,895,863,603,405,570,418
20201103-015737,3446,2776,1487,3171,51,452,585,494,293,442,1334,503,326,514,170,372,387,630,522,959,838,549,402,532,399
20201103-020237,3500,2833,1500,3283,64,522,544,522,311,410,1353,520,336,500,182,337,349,546,554,878,896,589,390,568,418
20201103-020738,3435,2813,1493,3208,47,480,583,492,224,428,1281,524,320,501,177,330,352,532,551,847,825,554,439,537,428
20201103-021238,3436,2783,1487,3212,63,504,554,510,284,418,1315,496,354,523,191,352,367,541,580,858,769,564,373,527,403
20201103-021738,3553,2712,1464,3289,68,531,552,545,285,419,1317,528,357,549,164,334,320,545,570,863,876,585,425,511,436
20201103-022239,3406,2671,1383,3215,58,489,592,460,280,393,1199,522,351,492,172,311,391,568,559,900,860,524,392,542,453
20201103-022739,3681,2766,1455,3280,59,557,606,536,290,420,1243,542,342,519,174,327,413,517,600,996,979,550,421,527,434
20201103-023240,3544,2843,1321,3369,66,514,576,521,285,413,1202,477,349,490,222,346,384,571,531,866,864,537,388,593,456
20201103-023740,3517,2678,1300,3286,64,501,575,509,287,412,1265,520,345,470,164,337,370,540,545,945,877,477,410,533,412
20201103-024240,3500,2752,1395,3297,87,517,608,509,282,424,1252,479,346,459,249,337,367,623,567,948,855,525,455,503,397
20201103-024741,3509,2707,1416,3206,56,507,603,501,278,477,1264,482,329,492,173,336,397,603,550,872,805,592,446,568,400
20201103-025241,3546,2707,1277,3221,51,545,581,534,300,406,1234,446,351,518,232,340,366,576,547,912,807,519,380,542,413
20201103-025742,3480,2642,1343,3261,58,498,585,516,267,404,1342,535,363,543,220,374,389,596,593,979,881,526,405,571,445
20201103-030242,3512,3097,1469,3384,58,631,633,585,277,460,1368,526,339,543,186,336,360,566,631,904,857,569,417,545,487
20201103-030743,3476,3210,1475,3597,56,596,639,617,293,456,1343,549,369,591,160,328,358,514,613,889,848,550,411,564,542
20201103-031243,3429,2838,1420,3582,57,510,646,561,305,470,1328,500,332,525,175,337,371,586,553,931,794,563,396,517,502
20201103-031744,3464,2847,1451,3362,53,500,595,560,272,463,1290,492,398,560,159,327,330,549,556,875,782,626,432,558,511
20201103-032244,3390,2710,1414,3413,68,530,558,567,291,432,1279,505,343,472,163,334,351,601,555,852,805,583,415,556,473
20201103-032745,3443,2736,1339,3332,62,544,578,506,297,455,1270,468,392,522,205,345,319,590,580,851,803,479,396,554,460
20201103-033245,3378,2638,1284,3206,56,499,597,498,298,409,1225,505,324,516,148,313,348,568,567,867,825,521,428,544,442
20201103-033745,3394,2601,1315,3278,50,490,605,474,271,425,1288,485,387,494,182,360,345,566,577,945,785,562,424,537,432
20201103-034246,3425,2586,1334,3299,45,494,619,521,286,447,1204,466,314,518,157,313,368,590,548,920,781,517,412,477,424
